kind,case,L,M,p05_us,p50_us,p95_us,physical_p50_us,exact_p50_us,physical_over_exact
kda_e2e,L1.000_Mmax,4096,32,525.6323170661926,526.2336015701294,527.2710514068604,,,
kda_e2e,L0.875_Mmax,3584,32,545.2979230880737,545.7055807113647,546.4515280723572,,,
kda_e2e,L0.750_Mmax,3072,32,544.4326496124268,545.4816102981567,546.2553405761719,,,
kda_e2e,L0.625_Mthree_quarters,2560,24,541.9340682029724,543.0016040802002,543.4687972068787,,,
kda_e2e,L0.500_Mhalf,2048,16,537.3958277702332,538.2304191589355,538.7785482406616,,,
kda_e2e,L0.375_Mquarter,1536,8,537.5612926483154,538.3648157119751,539.5062279701233,,,
kda_e2e,L0.250_M1,1024,1,573.8959956169128,574.8960018157959,575.6262564659119,,,
kda_e2e,L0.188_M1,768,1,559.9439978599548,560.476803779602,561.2195158004761,,,
kda_e2e,L0.125_M1,512,1,546.935031414032,547.7120161056519,548.7023973464966,,,
dense_projection,L1.000_Mmax,4096,32,,,,27.833598852157593,28.137600421905518,0.9891958956986519
dense_projection,L0.875_Mmax,3584,32,,,,27.89120078086853,27.20640003681183,1.0251705754208615
dense_projection,L0.750_Mmax,3072,32,,,,27.884799242019653,22.73920029401779,1.2262875950547636
dense_projection,L0.625_Mthree_quarters,2560,24,,,,29.183998703956604,20.284800231456757,1.4387126504060597
dense_projection,L0.500_Mhalf,2048,16,,,,29.32800054550171,18.902399390935898,1.5515490885017014
dense_projection,L0.375_Mquarter,1536,8,,,,31.15520030260086,14.91520032286644,2.0888221162431817
dense_projection,L0.250_M1,1024,1,,,,31.145599484443665,12.780800461769104,2.436905229653552
dense_projection,L0.188_M1,768,1,,,,31.145599484443665,10.787200182676315,2.887273709304281
dense_projection,L0.125_M1,512,1,,,,29.574400186538696,8.736000210046768,3.385347925304179
