kind,case,L,M,p05_us,p50_us,p95_us,physical_p50_us,exact_p50_us,physical_over_exact
dense_projection,L1.000_Mmax,8192,32,,,,201.22880935668945,201.363205909729,0.9993325664813869
dense_projection,L0.875_Mmax,7168,32,,,,209.35039520263672,190.15679955482483,1.1009356262450036
dense_projection,L0.750_Mmax,6144,32,,,,201.2992024421692,167.41920113563538,1.2023662822228245
dense_projection,L0.625_Mthree_quarters,5120,24,,,,201.12320184707642,145.03039717674255,1.3867658488308205
dense_projection,L0.500_Mhalf,4096,16,,,,197.7999985218048,121.24159932136536,1.6314532275140339
dense_projection,L0.375_Mquarter,3072,8,,,,201.18879079818726,93.21120083332062,2.1584186127797147
dense_projection,L0.250_M1,2048,1,,,,205.16319274902344,65.75360000133514,3.120181902509635
dense_projection,L0.188_M1,1536,1,,,,209.1968059539795,53.731200098991394,3.893395374913772
dense_projection,L0.125_M1,1024,1,,,,204.9008011817932,37.12959885597229,5.518529892461657
dense_projection,L0.062_M1,512,1,,,,205.01919984817505,22.77440056204796,9.002177655109222
