distribution,active_tokens,L_over_T_max,policy,selected_auto_path,median_us,median_ci_low_us,median_ci_high_us,p05_us,p95_us,sample_count,samples_us,active_chunks,active_tasks,capacity_chunks,capacity_tasks,worker_count,launched_tasks,speedup_vs_static
one_long,1024,0.0625,static,persistent,26.784000918269157,26.59199945628643,26.87999978661537,25.74240043759346,27.689599338918924,90,"[29.791999608278275, 26.43200010061264, 25.536000728607178, 27.23200060427189, 25.536000728607178, 26.815999299287796, 27.424000203609467, 25.728000327944756, 26.399999856948853, 26.59199945628643, 27.51999907195568, 26.399999856948853, 26.91200003027916, 26.623999699950218, 26.496000587940216, 25.760000571608543, 26.688000187277794, 26.91200003027916, 26.944000273942947, 26.75200067460537, 26.815999299287796, 27.35999971628189, 26.30399912595749, 26.87999978661537, 26.815999299287796, 27.39199995994568, 25.760000571608543, 27.03999914228916, 27.03999914228916, 25.760000571608543, 28.831999748945236, 25.919999927282333, 25.439999997615814, 26.87999978661537, 26.30399912595749, 26.399999856948853, 26.91200003027916, 26.43200010061264, 26.208000257611275, 26.367999613285065, 26.87999978661537, 26.655999943614006, 26.784000918269157, 26.784000918269157, 27.168000116944313, 26.11199952661991, 26.208000257611275, 26.847999542951584, 26.43200010061264, 27.135999873280525, 26.91200003027916, 26.528000831604004, 28.095999732613564, 25.599999353289604, 26.464000344276428, 27.008000761270523, 26.464000344276428, 26.559999212622643, 26.815999299287796, 26.655999943614006, 29.440000653266907, 26.91200003027916, 26.528000831604004, 27.775999158620834, 26.59199945628643, 26.815999299287796, 26.784000918269157, 27.168000116944313, 26.944000273942947, 27.103999629616737, 26.87999978661537, 26.944000273942947, 26.11199952661991, 26.048000901937485, 26.528000831604004, 26.944000273942947, 26.59199945628643, 27.2000003606081, 26.91200003027916, 27.008000761270523, 27.424000203609467, 26.464000344276428, 27.03999914228916, 26.079999282956123, 26.11199952661991, 26.623999699950218, 26.1439997702837, 26.399999856948853, 27.008000761270523, 27.583999559283257]",16,1024,508,32512,2368,32512,1.0
one_long,1024,0.0625,persistent,persistent,14.655999839305878,14.511999674141407,14.783999882638454,13.945599598810077,15.825599431991577,90,"[17.472000792622566, 15.32800029963255, 14.368000440299511, 15.104000456631184, 14.431999996304512, 14.655999839305878, 15.200000256299973, 14.783999882638454, 14.560000039637089, 14.688000082969666, 14.336000196635723, 15.00799972563982, 14.560000039637089, 15.00799972563982, 14.592000283300877, 14.240000396966934, 14.175999909639359, 15.039999969303608, 13.632000423967838, 14.112000353634357, 13.887999579310417, 14.816000126302242, 14.816000126302242, 14.655999839305878, 14.751999638974667, 14.688000082969666, 14.783999882638454, 14.816000126302242, 14.592000283300877, 14.368000440299511, 16.672000288963318, 15.839999541640282, 14.431999996304512, 14.783999882638454, 15.072000212967396, 15.263999812304974, 14.751999638974667, 14.495999552309513, 14.431999996304512, 14.655999839305878, 15.104000456631184, 14.015999622642994, 14.368000440299511, 13.567999936640263, 14.976000413298607, 13.728000223636627, 14.14399966597557, 14.08000010997057, 14.336000196635723, 14.047999866306782, 14.879999682307243, 15.072000212967396, 14.303999952971935, 14.816000126302242, 15.00799972563982, 14.720000326633453, 15.135999768972397, 14.14399966597557, 14.399999752640724, 14.271999709308147, 16.79999940097332, 14.14399966597557, 15.807999297976494, 15.00799972563982, 14.783999882638454, 15.39199985563755, 14.560000039637089, 13.856000266969204, 16.224000602960587, 14.271999709308147, 14.336000196635723, 15.00799972563982, 14.527999795973301, 15.200000256299973, 14.879999682307243, 14.720000326633453, 14.495999552309513, 14.527999795973301, 14.015999622642994, 15.71200042963028, 15.647999942302704, 14.112000353634357, 15.48799965530634, 14.431999996304512, 14.431999996304512, 14.240000396966934, 14.655999839305878, 14.303999952971935, 14.976000413298607, 14.720000326633453]",16,1024,508,32512,2368,2368,1.8275109997229417
one_long,1024,0.0625,production_auto,persistent,14.639999717473984,14.575600158423185,14.720400318037719,13.806399889290333,15.846400428563356,90,"[16.736000776290894, 15.776000916957855, 15.200000256299973, 14.208000153303146, 15.072000212967396, 14.112000353634357, 14.560000039637089, 14.944000169634819, 14.911999925971031, 15.00799972563982, 14.431999996304512, 13.75999953597784, 16.224000602960587, 14.527999795973301, 14.688000082969666, 14.783999882638454, 14.720000326633453, 14.62399959564209, 14.4640002399683, 14.495999552309513, 14.175999909639359, 14.592000283300877, 14.816000126302242, 14.047999866306782, 14.62399959564209, 14.879999682307243, 14.592000283300877, 13.919999822974205, 13.952000066637993, 14.495999552309513, 15.680000185966492, 14.14399966597557, 15.32800029963255, 14.751999638974667, 14.592000283300877, 14.303999952971935, 14.047999866306782, 13.791999779641628, 14.783999882638454, 14.495999552309513, 14.527999795973301, 14.62399959564209, 14.655999839305878, 14.527999795973301, 14.399999752640724, 14.688000082969666, 14.751999638974667, 14.08000010997057, 14.879999682307243, 14.816000126302242, 14.751999638974667, 14.783999882638454, 14.240000396966934, 14.431999996304512, 23.072000592947006, 15.039999969303608, 14.560000039637089, 14.655999839305878, 13.632000423967838, 14.751999638974667, 15.456000342965126, 15.904000028967857, 15.39199985563755, 13.407999649643898, 14.84800036996603, 14.655999839305878, 14.495999552309513, 14.527999795973301, 14.816000126302242, 14.655999839305878, 14.783999882638454, 14.879999682307243, 14.527999795973301, 14.655999839305878, 14.655999839305878, 14.368000440299511, 15.00799972563982, 14.112000353634357, 14.62399959564209, 15.359999611973763, 14.62399959564209, 13.824000023305416, 14.560000039637089, 14.240000396966934, 14.816000126302242, 14.495999552309513, 15.00799972563982, 26.559999212622643, 15.168000012636185, 13.75999953597784]",16,1024,508,32512,2368,2368,1.8295082947508776
one_long,2048,0.125,static,persistent,26.87999978661537,26.72000043094158,27.008400741033256,26.286400016397238,28.241599816828966,90,"[28.736000880599022, 27.2000003606081, 26.75200067460537, 27.456000447273254, 26.623999699950218, 26.87999978661537, 27.008000761270523, 26.240000501275063, 27.775999158620834, 26.784000918269157, 26.43200010061264, 26.91200003027916, 26.655999943614006, 26.91200003027916, 26.655999943614006, 26.688000187277794, 26.11199952661991, 28.224000707268715, 26.75200067460537, 26.72000043094158, 26.43200010061264, 26.75200067460537, 25.855999439954758, 27.23200060427189, 26.43200010061264, 26.784000918269157, 28.095999732613564, 26.688000187277794, 26.688000187277794, 26.559999212622643, 29.791999608278275, 27.55199931561947, 27.008000761270523, 27.23200060427189, 27.103999629616737, 26.87999978661537, 28.28799933195114, 26.559999212622643, 26.528000831604004, 27.264000847935677, 26.59199945628643, 27.39199995994568, 27.648000046610832, 26.688000187277794, 26.976000517606735, 26.496000587940216, 26.59199945628643, 27.135999873280525, 26.496000587940216, 26.655999943614006, 27.807999402284622, 26.688000187277794, 27.51999907195568, 26.559999212622643, 26.87999978661537, 26.528000831604004, 26.72000043094158, 26.59199945628643, 26.784000918269157, 26.87999978661537, 29.184000566601753, 28.255999088287354, 28.095999732613564, 27.39199995994568, 26.43200010061264, 27.488000690937042, 27.35999971628189, 26.079999282956123, 27.583999559283257, 26.30399912595749, 26.688000187277794, 26.464000344276428, 26.27200074493885, 27.327999472618103, 27.264000847935677, 27.51999907195568, 27.03999914228916, 27.23200060427189, 27.488000690937042, 26.87999978661537, 27.23200060427189, 27.424000203609467, 27.96800062060356, 27.35999971628189, 26.72000043094158, 26.496000587940216, 26.59199945628643, 26.87999978661537, 26.784000918269157, 26.528000831604004]",32,2048,508,32512,2368,32512,1.0
one_long,2048,0.125,persistent,persistent,17.855999991297722,17.055999487638474,18.09599995613098,16.494399961084127,18.609600141644478,90,"[21.088000386953354, 18.65600049495697, 17.08799973130226, 18.49599927663803, 16.64000004529953, 17.055999487638474, 18.432000651955605, 16.607999801635742, 18.52799952030182, 18.239999189972878, 18.33599992096424, 17.920000478625298, 18.559999763965607, 16.79999940097332, 16.672000288963318, 18.624000251293182, 16.64000004529953, 18.592000007629395, 16.607999801635742, 18.592000007629395, 18.52799952030182, 16.51199907064438, 16.831999644637108, 18.464000895619392, 18.464000895619392, 17.952000722289085, 16.51199907064438, 16.575999557971954, 16.64000004529953, 18.17600056529045, 18.303999677300453, 18.20800080895424, 16.672000288963318, 17.44000054895878, 16.48000068962574, 17.08799973130226, 18.303999677300453, 17.75999926030636, 18.271999433636665, 18.303999677300453, 18.112000077962875, 17.983999103307724, 20.06400004029274, 17.88800023496151, 16.575999557971954, 16.48000068962574, 16.51199907064438, 18.400000408291817, 17.952000722289085, 16.575999557971954, 18.144000321626663, 17.023999243974686, 17.88800023496151, 16.863999888300896, 17.823999747633934, 16.448000445961952, 16.767999157309532, 18.079999834299088, 16.672000288963318, 17.952000722289085, 19.392000511288643, 18.52799952030182, 17.055999487638474, 16.64000004529953, 16.92800037562847, 16.896000131964684, 17.055999487638474, 18.20800080895424, 16.736000776290894, 18.303999677300453, 17.311999574303627, 16.607999801635742, 16.767999157309532, 16.672000288963318, 16.767999157309532, 18.33599992096424, 18.400000408291817, 18.432000651955605, 18.33599992096424, 18.271999433636665, 16.831999644637108, 18.49599927663803, 17.952000722289085, 16.607999801635742, 18.464000895619392, 16.672000288963318, 16.416000202298164, 18.592000007629395, 16.383999958634377, 16.992000862956047]",32,2048,508,32512,2368,2368,1.5053763328693759
one_long,2048,0.125,production_auto,persistent,16.896000131964684,16.79999940097332,17.27999933063984,16.412800177931786,18.592000007629395,90,"[18.94400082528591, 17.72800087928772, 17.311999574303627, 18.49599927663803, 16.79999940097332, 16.96000061929226, 18.592000007629395, 16.672000288963318, 16.672000288963318, 16.767999157309532, 18.432000651955605, 16.92800037562847, 16.736000776290894, 17.920000478625298, 16.831999644637108, 18.592000007629395, 18.17600056529045, 16.831999644637108, 16.736000776290894, 17.920000478625298, 17.823999747633934, 16.607999801635742, 18.112000077962875, 16.672000288963318, 16.831999644637108, 16.896000131964684, 16.448000445961952, 18.33599992096424, 17.983999103307724, 16.704000532627106, 31.231999397277832, 18.719999119639397, 16.448000445961952, 17.343999817967415, 16.704000532627106, 16.672000288963318, 18.112000077962875, 16.863999888300896, 17.855999991297722, 16.127999871969223, 16.736000776290894, 16.767999157309532, 16.575999557971954, 16.383999958634377, 16.575999557971954, 16.1920003592968, 16.607999801635742, 16.896000131964684, 16.767999157309532, 16.224000602960587, 17.952000722289085, 16.896000131964684, 16.704000532627106, 18.303999677300453, 18.17600056529045, 17.24799908697605, 16.35199971497059, 16.79999940097332, 16.51199907064438, 18.144000321626663, 18.400000408291817, 16.96000061929226, 16.863999888300896, 16.896000131964684, 18.432000651955605, 18.0479995906353, 16.79999940097332, 18.17600056529045, 16.672000288963318, 16.575999557971954, 16.96000061929226, 16.736000776290894, 18.36800016462803, 16.736000776290894, 18.592000007629395, 16.992000862956047, 18.52799952030182, 18.432000651955605, 18.400000408291817, 18.144000321626663, 16.704000532627106, 16.575999557971954, 16.672000288963318, 16.575999557971954, 16.79999940097332, 16.51199907064438, 16.672000288963318, 18.33599992096424, 18.432000651955605, 17.59999990463257]",32,2048,508,32512,2368,2368,1.5909090658541407
one_long,3072,0.1875,static,persistent,27.520000003278255,27.168000116944313,28.00000086426735,26.72000043094158,29.16960045695305,90,"[29.343999922275543, 28.44800055027008, 27.68000029027462, 27.456000447273254, 26.815999299287796, 27.83999964594841, 27.807999402284622, 26.72000043094158, 26.87999978661537, 27.424000203609467, 26.72000043094158, 26.623999699950218, 28.863999992609024, 26.59199945628643, 28.79999950528145, 29.53599952161312, 27.03999914228916, 28.416000306606293, 26.72000043094158, 27.03999914228916, 26.784000918269157, 26.784000918269157, 27.264000847935677, 27.807999402284622, 28.831999748945236, 28.736000880599022, 26.75200067460537, 26.75200067460537, 26.75200067460537, 27.008000761270523, 30.400000512599945, 26.91200003027916, 28.736000880599022, 28.28799933195114, 26.87999978661537, 26.815999299287796, 26.72000043094158, 26.688000187277794, 27.135999873280525, 28.64000014960766, 28.00000086426735, 28.28799933195114, 28.863999992609024, 28.48000079393387, 28.31999957561493, 27.135999873280525, 27.327999472618103, 26.87999978661537, 27.008000761270523, 27.168000116944313, 28.192000463604927, 28.16000021994114, 27.135999873280525, 27.168000116944313, 28.384000062942505, 28.672000393271446, 26.688000187277794, 27.23200060427189, 26.815999299287796, 26.87999978661537, 29.37600016593933, 27.936000376939774, 27.07199938595295, 28.79999950528145, 27.456000447273254, 27.264000847935677, 29.184000566601753, 27.07199938595295, 27.35999971628189, 26.815999299287796, 28.704000636935234, 28.672000393271446, 28.00000086426735, 28.255999088287354, 27.871999889612198, 29.152000322937965, 27.008000761270523, 27.008000761270523, 27.583999559283257, 28.48000079393387, 29.120000079274178, 28.960000723600388, 28.511999174952507, 28.896000236272812, 26.91200003027916, 26.91200003027916, 28.863999992609024, 28.736000880599022, 28.31999957561493, 27.68000029027462]",48,3072,508,32512,2368,32512,1.0
one_long,3072,0.1875,persistent,persistent,20.70399932563305,20.608000457286835,20.864000543951988,20.01439966261387,21.71359956264496,90,"[22.975999861955643, 22.272000089287758, 21.247999742627144, 20.479999482631683, 20.608000457286835, 21.12000063061714, 20.640000700950623, 20.640000700950623, 20.22399939596653, 20.38400061428547, 19.807999953627586, 21.088000386953354, 20.54399996995926, 20.767999812960625, 20.576000213623047, 20.67199908196926, 20.447999238967896, 20.447999238967896, 20.864000543951988, 20.54399996995926, 20.896000787615776, 20.255999639630318, 20.767999812960625, 20.896000787615776, 20.608000457286835, 20.640000700950623, 20.479999482631683, 21.407999098300934, 20.320000126957893, 20.35200037062168, 21.824000403285027, 21.536000072956085, 19.519999623298645, 20.927999168634415, 20.99199965596199, 20.608000457286835, 20.99199965596199, 20.735999569296837, 21.056000143289566, 20.640000700950623, 20.767999812960625, 21.056000143289566, 20.096000283956528, 21.15200087428093, 20.767999812960625, 20.959999412298203, 20.959999412298203, 20.99199965596199, 20.576000213623047, 20.54399996995926, 19.999999552965164, 20.959999412298203, 20.864000543951988, 21.056000143289566, 21.056000143289566, 20.735999569296837, 20.800000056624413, 20.896000787615776, 19.840000197291374, 20.99199965596199, 23.552000522613525, 21.27999998629093, 21.60000056028366, 20.416000857949257, 20.35200037062168, 20.864000543951988, 20.128000527620316, 20.22399939596653, 21.056000143289566, 21.023999899625778, 21.31200022995472, 20.99199965596199, 20.67199908196926, 20.191999152302742, 20.54399996995926, 20.35200037062168, 20.70399932563305, 21.727999672293663, 19.967999309301376, 20.447999238967896, 20.031999796628952, 20.67199908196926, 20.287999883294106, 20.287999883294106, 20.54399996995926, 20.160000771284103, 21.376000717282295, 20.70399932563305, 21.695999428629875, 20.479999482631683]",48,3072,508,32512,2368,2368,1.3292117899755969
one_long,3072,0.1875,production_auto,persistent,20.735999569296837,20.65559991169721,20.8320003002882,19.996799528598785,21.344000473618507,90,"[22.911999374628067, 21.088000386953354, 21.27999998629093, 20.38400061428547, 20.927999168634415, 20.320000126957893, 20.640000700950623, 20.800000056624413, 20.70399932563305, 20.54399996995926, 20.70399932563305, 21.344000473618507, 20.479999482631683, 20.735999569296837, 20.38400061428547, 21.056000143289566, 20.416000857949257, 20.38400061428547, 20.608000457286835, 20.255999639630318, 20.767999812960625, 20.608000457286835, 20.896000787615776, 20.287999883294106, 20.8320003002882, 20.22399939596653, 20.54399996995926, 20.927999168634415, 20.67199908196926, 20.896000787615776, 23.104000836610794, 20.51199972629547, 21.31200022995472, 21.47199958562851, 21.088000386953354, 21.344000473618507, 21.023999899625778, 20.160000771284103, 19.840000197291374, 20.576000213623047, 20.51199972629547, 20.800000056624413, 20.99199965596199, 20.320000126957893, 20.031999796628952, 19.967999309301376, 19.90400068461895, 21.088000386953354, 20.576000213623047, 20.70399932563305, 20.896000787615776, 20.8320003002882, 20.99199965596199, 20.800000056624413, 21.023999899625778, 20.767999812960625, 20.576000213623047, 21.12000063061714, 20.735999569296837, 21.088000386953354, 21.15200087428093, 21.695999428629875, 20.735999569296837, 20.35200037062168, 20.896000787615776, 20.67199908196926, 20.191999152302742, 20.99199965596199, 21.088000386953354, 20.67199908196926, 20.8320003002882, 20.51199972629547, 21.056000143289566, 21.183999255299568, 20.864000543951988, 20.191999152302742, 20.640000700950623, 20.640000700950623, 20.640000700950623, 21.088000386953354, 20.191999152302742, 20.8320003002882, 20.767999812960625, 20.22399939596653, 19.936000928282738, 21.183999255299568, 21.183999255299568, 19.711999222636223, 20.67199908196926, 21.183999255299568]",48,3072,508,32512,2368,2368,1.3271605215514317
one_long,4096,0.25,static,persistent,28.831999748945236,28.75200007110834,28.960000723600388,28.043200355023146,29.571199789643288,90,"[30.97599931061268, 29.53599952161312, 27.488000690937042, 29.600000008940697, 28.575999662280083, 29.120000079274178, 28.48000079393387, 29.184000566601753, 28.672000393271446, 28.12799997627735, 29.023999348282814, 28.255999088287354, 29.343999922275543, 28.575999662280083, 28.896000236272812, 28.831999748945236, 28.575999662280083, 28.575999662280083, 29.440000653266907, 28.736000880599022, 28.831999748945236, 29.120000079274178, 28.76799926161766, 28.991999104619026, 28.79999950528145, 28.543999418616295, 28.960000723600388, 29.08799983561039, 28.44800055027008, 28.991999104619026, 29.120000079274178, 31.808000057935715, 27.327999472618103, 28.960000723600388, 29.023999348282814, 27.615999802947044, 28.76799926161766, 28.79999950528145, 28.991999104619026, 28.60799990594387, 28.991999104619026, 28.00000086426735, 28.9280004799366, 29.023999348282814, 29.023999348282814, 28.960000723600388, 28.64000014960766, 28.64000014960766, 26.976000517606735, 28.255999088287354, 28.095999732613564, 28.991999104619026, 29.120000079274178, 28.704000636935234, 28.543999418616295, 29.023999348282814, 28.12799997627735, 28.575999662280083, 28.60799990594387, 28.575999662280083, 30.01599945127964, 28.863999992609024, 29.53599952161312, 28.831999748945236, 28.960000723600388, 29.21600081026554, 28.64000014960766, 29.055999591946602, 28.831999748945236, 28.44800055027008, 29.440000653266907, 28.672000393271446, 28.831999748945236, 28.896000236272812, 28.79999950528145, 28.736000880599022, 28.575999662280083, 28.79999950528145, 30.880000442266464, 28.76799926161766, 28.736000880599022, 29.08799983561039, 28.896000236272812, 28.960000723600388, 28.960000723600388, 29.24799919128418, 29.21600081026554, 28.704000636935234, 28.736000880599022, 28.416000306606293]",64,4096,508,32512,2368,32512,1.0
