mode,round,step,active_tokens,physical_capacity,duration_ms
max,1,10,16384,16384,43.662551790475845
max,1,11,12288,16384,42.64332726597786
max,1,12,3072,16384,42.12089255452156
max,1,13,16384,16384,46.935196965932846
max,1,14,12288,16384,42.680226266384125
max,1,15,3072,16384,40.302518755197525
max,1,16,16384,16384,43.421126902103424
max,1,17,12288,16384,42.17234626412392
max,1,18,3072,16384,41.16036742925644
max,1,19,16384,16384,46.990785747766495
max,1,20,12288,16384,42.62921214103699
max,1,21,3072,16384,41.272249072790146
max,1,22,16384,16384,42.76642948389053
max,1,23,12288,16384,44.561341404914856
max,1,24,3072,16384,40.685560554265976
max,1,25,16384,16384,43.6546616256237
max,1,26,12288,16384,46.19358852505684
max,1,27,3072,16384,39.63998332619667
max,1,28,16384,16384,42.61096194386482
max,1,29,12288,16384,42.998820543289185
max,1,30,3072,16384,41.328903287649155
max,1,31,16384,16384,42.84505173563957
max,1,32,12288,16384,42.70646348595619
max,1,33,3072,16384,40.388427674770355
max,1,34,16384,16384,41.561443358659744
max,1,35,12288,16384,44.22684758901596
max,1,36,3072,16384,39.671238511800766
max,1,37,16384,16384,45.325055718421936
max,1,38,12288,16384,41.66780412197113
max,1,39,3072,16384,40.87276756763458
max,1,40,16384,16384,41.6034460067749
max,2,10,16384,16384,43.85886713862419
max,2,11,12288,16384,42.49237850308418
max,2,12,3072,16384,42.13004559278488
max,2,13,16384,16384,47.174617648124695
max,2,14,12288,16384,42.77880862355232
max,2,15,3072,16384,40.30676186084747
max,2,16,16384,16384,43.556369841098785
max,2,17,12288,16384,42.2125943005085
max,2,18,3072,16384,41.0279706120491
max,2,19,16384,16384,46.76239937543869
max,2,20,12288,16384,42.40686073899269
max,2,21,3072,16384,41.19086265563965
max,2,22,16384,16384,42.58409142494202
max,2,23,12288,16384,44.53275352716446
max,2,24,3072,16384,40.76240956783295
max,2,25,16384,16384,43.523453176021576
max,2,26,12288,16384,46.043213456869125
max,2,27,3072,16384,39.541080594062805
max,2,28,16384,16384,42.5996370613575
max,2,29,12288,16384,43.03434491157532
max,2,30,3072,16384,41.41506180167198
max,2,31,16384,16384,42.827945202589035
max,2,32,12288,16384,42.82205179333687
max,2,33,3072,16384,40.37376120686531
max,2,34,16384,16384,42.720720171928406
max,2,35,12288,16384,44.07298564910889
max,2,36,3072,16384,39.58575427532196
max,2,37,16384,16384,45.30924931168556
max,2,38,12288,16384,41.59395769238472
max,2,39,3072,16384,41.04297235608101
